Customer Name,Customer Mail ID,,Date and Time,Server Name,Server EMPID,Customer Age,Dining Preference,Room Preference,Sports Activity,Wellness,Pricing Pattern
James Craig,fmills@yahoo.com,,15-03-2024 18:31,Christopher,EMP5675,53,Yes,Standard,No,Gym,High
Michelle Rhodes,karenyates@robinson.info,,31-03-2024 06:27,Sharon,EMP8272,74,No,Standard,Yes,Spa,High
Yvonne Alvarez,reedcharles@davis.info,,29-04-2024 06:37,Jennifer,EMP7042,60,No,Deluxe,Yes,Pool,Medium
Jamie Pham,zbowers@aguirre.com,,17-07-2024 03:25,William,EMP2057,41,Yes,Suite,No,Spa,Medium
Vickie George,ssmith@yahoo.com,,08-02-2024 13:19,Jason,EMP8088,66,No,Suite,No,Pool,Low
Theresa Velazquez,wolson@hall.biz,,31-12-2023 11:36,Krystal,EMP8680,30,Yes,Suite,No,Gym,Low
Paul Howard,jaredchen@yahoo.com,,05-12-2024 12:04,Stephen,EMP8244,52,No,Suite,No,Pool,High
Henry Leonard,amber96@hotmail.com,,25-07-2024 16:30,Anthony,EMP7621,41,No,Suite,No,Spa,High
Jackie Hansen MD,cooperlori@gmail.com,,19-12-2023 17:06,Sharon,EMP7748,23,No,Standard,Yes,Pool,Low
Jennifer Stephenson,amymunoz@chandler-lee.com,,20-05-2024 21:57,Andrew,EMP4311,64,Yes,Suite,Yes,Spa,Low
Melissa Mata,hmora@gmail.com,,11-04-2024 16:06,Debra,EMP7904,20,No,Suite,No,Pool,Low
Steven Vasquez,moodykatie@gmail.com,,18-12-2023 20:41,Christopher,EMP2482,18,No,Suite,Yes,Spa,High
Marissa Williams,emmarodgers@hotmail.com,,04-11-2024 13:52,Tracy,EMP4818,22,Yes,Deluxe,Yes,Pool,High
Dr. Cheryl Wagner,ibennett@powell.com,,04-09-2024 08:41,Eric,EMP2537,41,Yes,Standard,No,Spa,Medium
Anthony Osborne,gallowaybarbara@gmail.com,,13-03-2024 10:52,Monique,EMP6932,51,Yes,Suite,No,Gym,Medium
Anne Parker,ipreston@white-wood.com,,30-01-2024 15:27,Matthew,EMP5178,44,Yes,Deluxe,No,Pool,High
Brett James,rebeccathomas@gmail.com,,19-10-2024 14:57,Cory,EMP9429,18,Yes,Standard,Yes,Pool,High
Tyler Manning,chelsea56@oliver.com,,28-06-2024 19:06,Brittany,EMP7634,41,Yes,Standard,Yes,Spa,High
Veronica Mitchell,gonzalezashley@yahoo.com,,21-10-2024 03:00,Brandon,EMP1950,79,Yes,Standard,Yes,Pool,High
Lisa Collins,ryanweiss@carroll.com,,24-10-2024 19:03,Debra,EMP5961,32,Yes,Standard,Yes,Gym,Low
Thomas Allen,stewartjackie@hotmail.com,,10-03-2024 07:00,Marcus,EMP2252,75,Yes,Deluxe,No,Spa,High
Michael Wolf,joseph12@yahoo.com,,05-03-2024 10:18,Kristie,EMP2823,31,No,Deluxe,Yes,Gym,Medium
Lauren Cameron,adrianzimmerman@bryant-rose.com,,30-11-2024 21:33,Cheryl,EMP3666,63,No,Suite,No,Spa,High
Rebecca Ferguson,malik45@dyer.com,,18-09-2024 06:25,Christine,EMP9487,37,Yes,Suite,No,Gym,Low
Ryan Thornton,egarcia@guerrero-allen.net,,08-09-2024 00:27,Felicia,EMP6585,43,No,Suite,Yes,Spa,Low
Cameron Davis,hendersonjohn@osborne.net,,15-04-2024 03:56,Emily,EMP8670,45,Yes,Suite,Yes,Pool,Low
Diane Williams,rgutierrez@young.com,,27-07-2024 21:07,Pamela,EMP1736,35,Yes,Deluxe,Yes,Spa,Low
Jeffrey Collins,alexispayne@lyons.org,,01-06-2024 14:50,Amber,EMP2698,61,Yes,Suite,No,Spa,Medium
Lori Wilson,liadam@gmail.com,,01-09-2024 20:19,Jocelyn,EMP3208,58,No,Suite,Yes,Pool,High
Michele Marks,wurandy@williamson-roth.com,,31-08-2024 15:21,Susan,EMP8985,48,Yes,Suite,No,Gym,High
Clinton Richardson,qlopez@bryant-collins.com,,04-05-2024 23:36,Julie,EMP3498,43,No,Suite,No,Gym,Low
Kyle Mitchell,tinahanna@yahoo.com,,17-07-2024 02:57,Carrie,EMP3229,48,Yes,Standard,No,Pool,High
John Lynch,kleinchristopher@owens-webb.com,,06-01-2024 04:32,Jason,EMP7889,49,No,Suite,Yes,Pool,Low
Benjamin Medina,carlmarquez@gmail.com,,02-08-2024 05:26,Sarah,EMP2745,24,Yes,Standard,Yes,Gym,Medium
Karen Pruitt,paulstephens@yahoo.com,,19-06-2024 15:28,Judith,EMP1762,35,Yes,Deluxe,Yes,Pool,Medium
Rebecca Anderson,peter28@hartman.info,,04-12-2024 23:09,Kelly,EMP8107,56,Yes,Deluxe,No,Pool,High
Scott Durham,nicolemcpherson@hotmail.com,,17-07-2024 03:31,Amber,EMP8569,53,No,Deluxe,Yes,Gym,Low
Jonathan Patterson,elizabeth54@gmail.com,,25-09-2024 18:42,Karen,EMP3242,55,No,Standard,Yes,Gym,Low
Walter Preston,avilasamantha@todd.net,,22-04-2024 22:08,William,EMP1967,80,Yes,Deluxe,No,Spa,High
Anthony Buck,james30@gmail.com,,02-11-2024 08:56,Stephanie,EMP6360,61,Yes,Standard,No,Spa,High
Seth Clark,fnelson@hotmail.com,,30-08-2024 00:56,Claire,EMP4305,72,No,Suite,No,Spa,Medium
Spencer Mendoza,dnguyen@gmail.com,,17-09-2024 23:12,Taylor,EMP2772,28,Yes,Standard,Yes,Pool,High
Steven Kennedy,ttaylor@yahoo.com,,07-06-2024 13:09,Russell,EMP3980,19,No,Deluxe,No,Pool,High
Cynthia Garcia,donald69@hotmail.com,,06-02-2024 02:12,Kurt,EMP2220,72,Yes,Standard,Yes,Spa,Medium
James Garcia,jguerrero@hotmail.com,,03-08-2024 09:21,Ian,EMP4732,77,No,Standard,No,Pool,Medium
Shelby Brown,arthurgarcia@oconnor.biz,,03-04-2024 08:44,Albert,EMP6122,71,Yes,Deluxe,No,Pool,Medium
Caitlin Edwards,tiffany99@hayes.net,,26-07-2024 15:39,Misty,EMP5694,66,Yes,Standard,No,Spa,High
Justin Miller DDS,allenreed@williams.com,,02-05-2024 01:00,Sharon,EMP7237,53,Yes,Suite,No,Gym,High
Richard Golden,andrew30@yahoo.com,,22-05-2024 14:24,George,EMP3578,32,Yes,Suite,No,Spa,High
Dana Lam,burnschristopher@yahoo.com,,29-06-2024 22:59,Anita,EMP2414,58,No,Suite,Yes,Spa,Medium
Lindsay Davis,davisrobert@hotmail.com,,05-10-2024 06:30,Emily,EMP6223,68,Yes,Deluxe,Yes,Spa,Low
Jeffrey Bullock,parkersherman@yahoo.com,,13-04-2024 05:30,Drew,EMP1567,44,Yes,Deluxe,Yes,Gym,High
Rebecca Glass,storres@yahoo.com,,16-05-2024 13:27,Karen,EMP3386,66,Yes,Deluxe,Yes,Spa,Medium
Blake Henry,vjordan@hotmail.com,,19-05-2024 01:50,Samuel,EMP7760,37,Yes,Deluxe,No,Gym,High
John Carpenter,laurendavis@yahoo.com,,29-11-2024 01:35,Troy,EMP4702,38,Yes,Deluxe,No,Gym,High
Teresa Edwards,jefferyboone@yahoo.com,,14-12-2024 19:49,Scott,EMP7501,50,No,Standard,Yes,Gym,High
Danielle Young,christopher87@gmail.com,,20-05-2024 03:14,Brandon,EMP4077,34,Yes,Standard,Yes,Spa,Medium
Amanda Sullivan,fgibson@deleon.com,,24-11-2024 21:47,Sharon,EMP9620,36,Yes,Standard,No,Spa,Medium
Steven Cobb,tchambers@ellis-stewart.net,,27-06-2024 15:35,Melody,EMP9833,38,No,Suite,Yes,Gym,Low
Kaitlyn Garcia,morenojohn@hotmail.com,,10-08-2024 17:08,Jennifer,EMP2042,79,Yes,Deluxe,No,Pool,Medium
Kevin Hughes,christinawalton@stewart.com,,11-11-2024 16:48,Benjamin,EMP2301,44,Yes,Suite,Yes,Gym,Low
Madison Martin,kelsey05@gmail.com,,26-04-2024 08:44,Jennifer,EMP2297,53,No,Suite,No,Gym,Medium
Matthew Clark,egoodwin@boyd-phillips.com,,02-06-2024 13:46,Bobby,EMP5444,63,Yes,Deluxe,Yes,Pool,Medium
Michael Perez,bvalenzuela@yahoo.com,,06-07-2024 13:07,Patrick,EMP5772,77,No,Suite,No,Gym,Low
William Wood,browneric@mcintyre-jordan.net,,17-01-2024 09:22,Teresa,EMP3279,59,No,Deluxe,Yes,Pool,High
Lisa Hernandez,lewisjessica@lester.com,,25-06-2024 00:30,Judith,EMP3850,80,No,Standard,Yes,Pool,Low
Shawn Martin,ramossheri@hotmail.com,,20-04-2024 12:12,Mark,EMP5281,21,Yes,Deluxe,Yes,Pool,Medium
Courtney Hill,kristirobertson@gmail.com,,12-02-2024 13:50,Catherine,EMP4575,22,Yes,Suite,No,Gym,Low
Dwayne Gamble,brandon61@davila-ruiz.biz,,05-02-2024 21:39,Danielle,EMP6595,66,No,Deluxe,No,Pool,Medium
Brandy Wilkerson,joshua95@spencer-rogers.com,,21-04-2024 20:36,Rebecca,EMP8466,25,No,Standard,Yes,Gym,Medium
David Alexander,pachecodonald@rice-brown.com,,30-09-2024 02:35,Richard,EMP2398,75,Yes,Deluxe,No,Gym,High
Martin Davis,johncalhoun@gmail.com,,22-02-2024 23:32,Amber,EMP7228,28,Yes,Deluxe,Yes,Pool,High
Joe Moran III,cowanjennifer@paul-perkins.com,,22-03-2024 09:25,Ashley,EMP1610,26,Yes,Standard,No,Pool,Medium
Gary Green,bobby37@gmail.com,,21-08-2024 11:44,Dale,EMP5270,68,Yes,Standard,No,Pool,Low
Dr. Melissa Chambers MD,crystaloliver@norris-mccoy.com,,29-02-2024 01:45,Richard,EMP1370,53,Yes,Standard,No,Gym,Medium
John Love,vstephens@thomas.net,,17-07-2024 08:11,Sean,EMP2153,70,Yes,Standard,Yes,Spa,High
Erika Acosta,hayesrebecca@wheeler.net,,19-04-2024 11:18,Wesley,EMP7316,61,Yes,Suite,No,Spa,Medium
Lauren Kelley,gillmark@gmail.com,,07-03-2024 16:01,Joseph,EMP5962,43,No,Deluxe,Yes,Gym,High
Katherine Dominguez,robertcisneros@yahoo.com,,11-10-2024 13:08,Sarah,EMP7447,32,Yes,Deluxe,No,Spa,Medium
Gina Cohen,kathryngomez@hotmail.com,,11-06-2024 07:18,Caleb,EMP9498,69,Yes,Standard,No,Pool,Medium
Victoria Bell,pspencer@hansen.com,,18-05-2024 10:53,Chase,EMP2226,70,No,Deluxe,Yes,Spa,Medium
Jonathan Allen,balltiffany@moore.org,,06-04-2024 20:34,Christopher,EMP7282,48,No,Deluxe,No,Spa,High
Mary Carpenter,beverlytaylor@hotmail.com,,13-01-2024 13:45,Andrew,EMP6203,23,No,Standard,No,Pool,High
Patrick Johnson,fthomas@gmail.com,,06-08-2024 05:20,Robin,EMP2536,55,Yes,Suite,Yes,Gym,Low
Angel Hamilton MD,williamsjohn@burke.info,,17-09-2024 03:11,Daniel,EMP3196,22,Yes,Standard,No,Gym,Low
Connor Clark,oscott@gmail.com,,13-11-2024 20:47,Andrea,EMP7359,23,No,Suite,Yes,Spa,Low
Karen Walton,graveskathryn@hotmail.com,,03-08-2024 13:16,Robert,EMP3325,35,Yes,Suite,Yes,Gym,Low
Jennifer Harmon,karen86@gmail.com,,11-06-2024 10:17,Robert,EMP3611,70,No,Deluxe,Yes,Spa,High
Whitney Sanchez,rebecca80@hotmail.com,,27-12-2023 07:45,Amy,EMP5130,61,No,Standard,No,Pool,Low
Sean Conley Jr.,collinsbarbara@yahoo.com,,26-08-2024 04:06,Amanda,EMP6202,56,No,Standard,No,Gym,High
Amanda Nash,curtis65@little.com,,11-01-2024 06:32,Erin,EMP7023,45,Yes,Standard,No,Spa,High
Diane Carter,vyates@beck.org,,15-01-2024 14:03,Jessica,EMP4091,38,Yes,Standard,No,Pool,Medium
Karen Davis,jenniferford@dixon.org,,13-10-2024 10:58,Christopher,EMP1278,29,Yes,Suite,No,Spa,Medium
Stacey Davis,robert97@yahoo.com,,26-03-2024 18:56,William,EMP5366,51,Yes,Deluxe,Yes,Gym,High
Casey Lyons,fsosa@gmail.com,,22-03-2024 02:41,Julie,EMP8281,50,No,Deluxe,No,Pool,Low
Jeremiah Powell,fordkenneth@hotmail.com,,17-08-2024 18:01,Linda,EMP3674,30,Yes,Standard,Yes,Spa,Low
Kenneth Alvarez,michaelporter@mooney-fields.com,,31-10-2024 17:17,Sally,EMP1255,31,No,Suite,Yes,Pool,Medium
Kevin Harris,dorothy24@gmail.com,,26-09-2024 22:42,James,EMP9671,72,Yes,Suite,No,Pool,High
Melissa Randall,michelle83@davis-johnson.com,,11-01-2024 15:07,Jessica,EMP8502,36,Yes,Deluxe,No,Spa,Low
Tina Flynn,olsonpatrick@cole.net,,23-01-2024 16:38,Shannon,EMP9225,73,No,Deluxe,Yes,Gym,High
Chad Irwin,edwardward@stanley.com,,19-08-2024 07:26,Kathleen,EMP9796,79,No,Deluxe,No,Gym,Medium
Vincent Carter,sfoster@carrillo-waters.com,,02-08-2024 02:38,Amanda,EMP4500,34,Yes,Suite,Yes,Gym,Low
Alexandra Luna,alexanderriley@yahoo.com,,31-03-2024 12:18,Troy,EMP2019,46,No,Suite,No,Spa,High
Alice Wilson,ryancooper@hotmail.com,,22-05-2024 07:21,Kristine,EMP6962,26,Yes,Deluxe,Yes,Gym,High
Jasmine Johnson,courtneyhicks@holland.com,,01-05-2024 14:27,Rebecca,EMP7533,63,No,Deluxe,No,Pool,High
Thomas Kaufman,lhuff@johnson.biz,,06-10-2024 06:34,Kyle,EMP9089,64,No,Deluxe,No,Gym,Low
Eric Rivas,elizabeth83@hotmail.com,,17-08-2024 06:56,Marcus,EMP5904,50,No,Suite,No,Spa,High
Robin Beasley,ezavala@gmail.com,,14-12-2024 19:45,Earl,EMP5104,19,No,Deluxe,No,Pool,High
Wanda Myers,andrew83@hotmail.com,,04-08-2024 13:30,Diane,EMP7572,30,No,Suite,No,Spa,Medium
Roberto Gonzalez,edwardvaldez@hotmail.com,,13-01-2024 07:38,Christine,EMP3233,60,Yes,Deluxe,Yes,Spa,Low
Andrew Durham,katie02@rocha-ford.com,,21-10-2024 08:10,Stephanie,EMP5154,33,Yes,Deluxe,Yes,Pool,Medium
James Cantu,shawn53@spence-frye.com,,06-09-2024 10:14,Tracy,EMP2261,35,Yes,Suite,No,Pool,Low
Johnny Bailey,yubryan@shaw.org,,21-07-2024 08:42,Tina,EMP9538,73,No,Standard,Yes,Gym,High
Emily Cabrera,sharon83@yahoo.com,,24-05-2024 23:51,Jennifer,EMP2823,70,No,Deluxe,No,Pool,High
Jennifer Carney,nathan92@baker-santana.com,,13-03-2024 16:02,David,EMP3710,70,No,Standard,Yes,Spa,Low
Heidi Lopez,paulreed@gmail.com,,25-10-2024 18:30,Donna,EMP6892,76,Yes,Deluxe,Yes,Spa,Medium
Timothy Hatfield,jamiethompson@green-adams.biz,,16-12-2024 17:34,Stephen,EMP4774,43,Yes,Deluxe,No,Pool,Medium
Allen Bray,quinnstephanie@hotmail.com,,05-01-2024 20:13,Juan,EMP8521,35,No,Suite,No,Pool,High
Lisa Morrow,kevin11@ingram-rodriguez.com,,31-12-2023 19:10,Spencer,EMP9327,51,Yes,Deluxe,Yes,Spa,High
